Description	Resource	Path	Location
Entity Class Best Practise 1	Building.java	SpringPetStore01/src/main/java/thirdstage/exercise/spring/transaction/case2/entities	line 23
Entity Class Best Practise 2	Company.java	SpringPetStore01/src/main/java/thirdstage/exercise/spring/transaction/case2/entities	line 21
Entity Class Best Practise 3	Factory.java	SpringPetStore01/src/main/java/thirdstage/exercise/spring/transaction/case2/entities	line 16
Entity Class Best Practise 4	Industry.java	SpringPetStore01/src/main/java/thirdstage/exercise/spring/transaction/case2/entities	line 17
Hibernate Configuration Best Practice 1	hibernate-exercise.cfg.xml	SpringPetStore01/src/main/resources/thirdstage/exercise/spring/transaction/case2/confs	line 8
Log4j Config Best Practise 1	log4j-exercise.properties	SpringPetStore01/src/main/resources/thirdstage/exercise/spring/transaction/case2/confs	line 3
Spring Config Best Practise 1 (for Hibernate)	spring-exercise-hibernate.xml	SpringPetStore01/src/main/resources/thirdstage/exercise/spring/transaction/case2/confs	line 10
Spring Config Best Practise 2 (for iBATIS)	spring-exercise-ibatis.xml	SpringPetStore01/src/main/resources/thirdstage/exercise/spring/transaction/case2/confs	line 11
Spring Config Best Practise 3 (for JDBC)	spring-exercise-jdbc.xml	SpringPetStore01/src/main/resources/thirdstage/exercise/spring/transaction/case2/confs	line 10
SqlMap Config Best Practise 1	sql-map-exercise.xml	SpringPetStore01/src/main/resources/thirdstage/exercise/spring/transaction/case2/confs	line 5
